appid,precio,fecha,reseñas
1017630,1.77,"Mar 26, 2019",0
1017630,1.99,"Mar 26, 2019",0
1017650,4.99,"Apr 9, 2019",0
1017650,4.4,"Apr 9, 2019",0
1017650,4.99,"Apr 9, 2019",0
1017750,1.99,"Aug 1, 2019",0
1017750,1.45,"Aug 1, 2019",0
1017750,1.99,"Aug 1, 2019",0
1017800,2.99,"Feb 24, 2019",0
1017800,2.61,"Feb 24, 2019",0
1017800,2.99,"Feb 24, 2019",0
1017820,5.99,"Dec 11, 2020",0
1017820,5.18,"Dec 11, 2020",0
1017820,5.99,"Dec 11, 2020",0
1017860,0.0,"Jun 24, 2019",0
1017860,0.0,"Jun 24, 2019",0
1017860,0.0,"Jun 24, 2019",0
1017900,4.99,"Aug 19, 2019",13482
1017900,3.97,"Aug 19, 2019",13482
1017900,4.99,"Aug 19, 2019",13482
1017940,2.99,"Feb 21, 2019",0
1017940,1.78,"Feb 21, 2019",0
1017940,2.99,"Feb 21, 2019",0
1018000,7.99,"Apr 18, 2019",324
1018000,6.35,"Apr 18, 2019",324
1018000,7.99,"Apr 18, 2019",324
1018010,7.99,"May 16, 2019",1618
1018010,4.01,"May 16, 2019",1618
1018010,7.99,"May 16, 2019",1618
1018020,7.99,"Jun 11, 2019",1100
1018020,6.16,"Jun 11, 2019",1100
1018020,7.99,"Jun 11, 2019",1100
1018130,4.99,"Feb 19, 2019",0
1018130,2.9,"Feb 19, 2019",0
1018130,4.99,"Feb 19, 2019",0
1018160,2.49,"Aug 27, 2019",920
1018160,1.47,"Aug 27, 2019",920
1018160,2.49,"Aug 27, 2019",920
1018170,3.99,"May 16, 2019",0
1018170,2.14,"May 16, 2019",0
1018170,3.99,"May 16, 2019",0
1018240,5.99,"Sep 25, 2019",0
1018240,4.73,"Sep 25, 2019",0
1018240,5.99,"Sep 25, 2019",0
1018270,6.99,"Nov 1, 2019",0
1018270,3.77,"Nov 1, 2019",0
1018270,6.99,"Nov 1, 2019",0
1018420,0.99,"Mar 22, 2019",0
1018420,0.86,"Mar 22, 2019",0
1018420,0.99,"Mar 22, 2019",0
1018700,4.99,"Sep 8, 2019",0
1018700,2.9,"Sep 8, 2019",0
1018700,4.99,"Sep 8, 2019",0
1018720,19.99,"Feb 26, 2019",0
1018720,11.77,"Feb 26, 2019",0
1018720,19.99,"Feb 26, 2019",0
1018800,14.99,"Nov 23, 2021",4131
1018800,9.76,"Nov 23, 2021",4131
1018800,14.99,"Nov 23, 2021",4131
1018810,4.99,"Apr 19, 2019",0
1018810,2.97,"Apr 19, 2019",0
1018810,4.99,"Apr 19, 2019",0
1018820,3.99,"Feb 16, 2019",0
1018820,2.15,"Feb 16, 2019",0
1018820,3.99,"Feb 16, 2019",0
1018830,14.99,"Apr 2, 2021",2737
1018830,9.33,"Apr 2, 2021",2737
1018830,14.99,"Apr 2, 2021",2737
1018850,12.99,"May 31, 2019",1994
1018850,7.2,"May 31, 2019",1994
1018850,12.99,"May 31, 2019",1994
1018860,14.99,"Mar 4, 2020",0
1018860,7.6,"Mar 4, 2020",0
1018860,14.99,"Mar 4, 2020",0
1018900,3.99,"Mar 13, 2019",0
1018900,3.48,"Mar 13, 2019",0
1018900,3.99,"Mar 13, 2019",0
1018950,0.0,"Oct 15, 2020",0
1018950,0.0,"Oct 15, 2020",0
1018950,0.0,"Oct 15, 2020",0
1018960,9.99,"May 18, 2021",0
1018960,7.01,"May 18, 2021",0
1018960,9.99,"May 18, 2021",0
