steamid,game
76561198294806446,Counter-Strike: Condition Zero Deleted Scenes
76561198294806446,Half-Life: Blue Shift
76561198294806446,Half-Life 2
76561198294806446,Counter-Strike: Source
76561198294806446,Half-Life: Source
76561198294806446,Day of Defeat: Source
76561198294806446,Half-Life 2: Deathmatch
76561197982718230,10
76561197982718230,Team Fortress Classic
76561197982718230,Day of Defeat
76561197982718230,Deathmatch Classic
76561197982718230,Half-Life: Opposing Force
76561197982718230,Ricochet
76561197982718230,Half-Life
76561197982718230,Counter-Strike: Condition Zero
76561197982718230,Counter-Strike: Condition Zero Deleted Scenes
76561197982718230,Half-Life: Blue Shift
76561197982718230,Half-Life 2
76561197982718230,Counter-Strike: Source
76561197982718230,Half-Life: Source
76561197982718230,Day of Defeat: Source
76561197982718230,Half-Life 2: Deathmatch
76561198417144062,10
76561198417144062,Team Fortress Classic
76561198417144062,Day of Defeat
76561198417144062,Deathmatch Classic
76561198417144062,Half-Life: Opposing Force
76561198417144062,Ricochet
76561198417144062,Half-Life
76561198417144062,Counter-Strike: Condition Zero
76561198417144062,Counter-Strike: Condition Zero Deleted Scenes
76561198417144062,Half-Life: Blue Shift
76561198417144062,Half-Life 2
76561198417144062,Counter-Strike: Source
76561198417144062,Half-Life: Source
76561198417144062,Day of Defeat: Source
76561198417144062,Half-Life 2: Deathmatch
76561198037867621,10
76561198037867621,Team Fortress Classic
76561198037867621,Day of Defeat
76561198037867621,Deathmatch Classic
76561198037867621,Half-Life: Opposing Force
76561198037867621,Ricochet
76561198037867621,Half-Life
76561198037867621,Counter-Strike: Condition Zero
76561198037867621,Counter-Strike: Condition Zero Deleted Scenes
76561198037867621,Half-Life: Blue Shift
76561198037867621,Half-Life 2
76561198037867621,Counter-Strike: Source
76561198037867621,Half-Life: Source
76561198037867621,Day of Defeat: Source
76561198037867621,Half-Life 2: Deathmatch
76561198028011423,10
76561198028011423,Team Fortress Classic
76561198028011423,Day of Defeat
76561198028011423,Deathmatch Classic
76561198028011423,Half-Life: Opposing Force
76561198028011423,Ricochet
76561198028011423,Half-Life
76561198028011423,Counter-Strike: Condition Zero
76561198028011423,Counter-Strike: Condition Zero Deleted Scenes
76561198028011423,Half-Life: Blue Shift
76561198028011423,Half-Life 2
76561198028011423,Counter-Strike: Source
76561198028011423,Half-Life: Source
76561198028011423,Day of Defeat: Source
76561198028011423,Half-Life 2: Deathmatch
76561197963550511,10
76561197963550511,Team Fortress Classic
76561197963550511,Day of Defeat
76561197963550511,Deathmatch Classic
76561197963550511,Half-Life: Opposing Force
76561197963550511,Ricochet
76561197963550511,Half-Life
76561197963550511,Counter-Strike: Condition Zero
76561197963550511,Counter-Strike: Condition Zero Deleted Scenes
76561197963550511,Half-Life: Blue Shift
76561197963550511,Half-Life 2
76561197963550511,Counter-Strike: Source
76561197963550511,Half-Life: Source
76561197963550511,Day of Defeat: Source
76561197963550511,Half-Life 2: Deathmatch
76561198217186687,Team Fortress Classic
76561198217186687,Day of Defeat
76561198217186687,Deathmatch Classic
76561198217186687,Ricochet
76561198217186687,Half-Life: Blue Shift
76561198217186687,Portal
76561198217186687,Portal 2
76561198217186687,Rag Doll Kung Fu
76561198217186687,Red Orchestra: Ostfront 41-45
76561198217186687,Mare Nostrum
